iter	Passed	Remaining
823	78910	208385
824	79025	208340
825	79119	208240
826	79212	208135
827	79306	208034
828	79397	207928
829	79488	207819
830	79584	207724
831	79676	207619
832	79773	207527
833	79858	207402
834	79952	207303
835	80052	207217
836	80147	207120
837	80249	207039
838	80341	206935
839	80444	206857
840	80531	206738
841	80630	206651
842	80726	206555
843	80820	206455
844	80917	206362
845	81013	206269
846	81104	206159
847	81199	206062
848	81293	205962
849	81376	205834
850	81471	205735
851	81565	205635
852	81659	205536
853	81752	205434
854	81840	205318
855	81924	205194
856	82018	205094
857	82115	205001
858	82210	204905
859	82303	204802
860	82391	204686
861	82484	204585
862	82572	204469
863	82668	204373
864	82761	204272
865	82854	204169
866	82940	204051
867	83039	203964
868	83138	203874
869	83230	203772
870	83327	203679
871	83426	203591
872	83521	203493
873	83616	203396
874	83707	203290
875	83803	203194
876	83895	203089
877	83989	202990
878	84091	202909
879	84190	202822
880	84280	202712
881	84375	202615
882	84468	202514
883	84563	202416
884	84661	202325
885	84750	202214
886	84844	202115
887	84943	202028
888	85039	201932
889	85131	201829
890	85230	201741
891	85330	201654
892	85433	201576
893	85518	201457
894	85621	201377
895	85711	201268
896	85798	201153
897	85897	201064
898	85990	200962
899	86083	200862
900	86174	200754
901	86267	200653
902	86362	200557
903	86465	200476
904	86557	200372
905	86661	200297
906	86751	200188
907	86848	200095
908	86941	199994
909	87039	199902
910	87131	199799
911	87226	199701
912	87323	199609
913	87404	199481
914	87505	199397
915	87598	199296
916	87701	199216
917	87801	199130
918	87897	199037
919	87991	198937
920	88092	198853
921	88196	198775
922	88292	198682
923	88391	198593
924	88491	198507
925	88573	198382
926	88669	198286
927	88757	198174
928	88849	198070
929	88943	197970
930	89035	197866
931	89135	197780
932	89230	197685
933	89323	197583
934	89420	197490
935	89518	197400
936	89614	197305
937	89709	197208
938	89806	197116
939	89905	197027
940	89993	196915
941	90085	196810
942	90182	196718
943	90278	196622
944	90369	196518
945	90458	196406
946	90558	196321
947	90653	196224
948	90745	196121
949	90840	196024
950	90935	195927
951	91025	195820
952	91117	195716
953	91211	195617
954	91307	195523
955	91402	195424
956	91494	195322
957	91586	195218
958	91685	195129
959	91791	195057
960	91891	194970
961	91977	194855
962	92068	194749
963	92158	194641
964	92252	194543
965	92351	194454
966	92451	194367
967	92547	194272
968	92642	194175
969	92741	194088
970	92838	193995
971	92919	193868
972	93020	193784
973	93119	193695
974	93215	193601
975	93306	193496
976	93398	193392
977	93499	193307
978	93590	193204
979	93691	193120
980	93783	193016
981	93894	192953
982	93983	192842
983	94079	192747
984	94172	192647
985	94259	192534
986	94346	192421
987	94443	192328
988	94523	192200
989	94611	192089
990	94708	191997
991	94807	191908
992	94898	191804
993	94986	191692
994	95084	191602
995	95180	191508
996	95270	191400
997	95352	191278
998	95448	191184
999	95542	191085
1000	95645	191003
1001	95741	190909
1002	95834	190809
1003	95944	190742
1004	96039	190645
1005	96130	190541
1006	96226	190445
1007	96325	190357
1008	96421	190262
1009	96509	190152
1010	96614	190074
1011	96714	189989
1012	96809	189891
1013	96894	189775
1014	96987	189675
1015	97080	189574
1016	97164	189457
1017	97261	189363
1018	97358	189270
1019	97450	189168
1020	97542	189066
1021	97633	188961
1022	97736	188880
1023	97833	188788
